,Sentiment,Score
1254,Positive,0.289
1255,Negative,0.391
1256,Negative,0.201
1257,Negative,0.0
1258,Negative,0.0
1259,Negative,0.0
1260,Negative,0.361
1261,Negative,0.23
1262,Negative,0.116
1263,Negative,0.252
1264,Negative,0.244
1265,Positive,0.083
1266,Negative,0.198
1267,Negative,0.208
1268,Negative,0.131
1269,Positive,0.338
1270,Positive,0.433
1271,Negative,0.0
1272,Negative,0.22
1273,Negative,0.205
1274,Negative,0.311
1275,Negative,0.0
1276,Positive,0.317
1277,Positive,0.247
1278,Positive,0.155
1279,Positive,0.253
1280,Negative,0.19
1281,Negative,0.231
1282,Positive,0.2
1283,Positive,0.435
1284,Negative,0.334
1285,Negative,0.252
1286,Negative,0.215
1287,Positive,0.521
1288,Negative,0.372
1289,Negative,0.187
1290,Negative,0.192
1291,Negative,0.339
1292,Positive,0.316
1293,Negative,0.191
1294,Negative,0.223
1295,Negative,0.158
1296,Negative,0.164
1297,Negative,0.271
1298,Negative,0.342
1299,Positive,0.191
1300,Negative,0.338
1301,Positive,0.182
1302,Positive,0.174
1303,Positive,0.21
1304,Negative,0.234
1305,Negative,0.0
1306,Negative,0.268
1307,Negative,0.175
1308,Positive,0.04
1309,Negative,0.0
1310,Positive,0.249
1311,Positive,0.219
1312,Positive,0.244
1313,Positive,0.441
1314,Negative,0.177
1315,Negative,0.0
1316,Negative,0.193
1317,Positive,0.281
1318,Positive,0.114
1319,Positive,0.26
1320,Negative,0.143
1321,Positive,0.2
1322,Positive,0.168
1323,Negative,0.053
1324,Negative,0.165
1325,Negative,0.268
1326,Negative,0.315
1327,Positive,0.228
1328,Positive,0.226
1329,Negative,0.172
1330,Negative,0.486
1331,Positive,0.22
1332,Positive,0.211
1333,Positive,0.073
1334,Positive,0.242
1335,Positive,0.164
1336,Negative,0.182
1337,Positive,0.134
1338,Negative,0.19
1339,Negative,0.306
1340,Positive,0.299
1341,Positive,0.158
1342,Negative,0.188
1343,Positive,0.167
1344,Positive,0.348
1345,Positive,0.21
1346,Positive,0.161
1347,Negative,0.233
1348,Positive,0.183
1349,Positive,0.174
1350,Positive,0.203
1351,Negative,0.196
1352,Negative,0.183
1353,Negative,0.229
1354,Positive,0.114
1355,Positive,0.474
1356,Negative,0.221
1357,Negative,0.322
1358,Positive,0.402
1359,Negative,0.136
1360,Positive,0.32
1361,Positive,0.211
1362,Positive,0.185
1363,Negative,0.273
1364,Positive,0.293
1365,Positive,0.208
1366,Negative,0.095
1367,Positive,0.183
1368,Negative,0.0
1369,Negative,0.116
1370,Positive,0.316
1371,Negative,0.305
1372,Negative,0.435
1373,Positive,0.14
1374,Positive,0.373
1375,Negative,0.133
1376,Negative,0.429
1377,Negative,0.0
1378,Positive,0.245
1379,Positive,0.228
1380,Positive,0.121
1381,Positive,0.193
1382,Positive,0.364
1383,Positive,0.215
1384,Negative,0.142
1385,Negative,0.127
1386,Negative,0.169
1387,Negative,0.275
1388,Positive,0.32
1389,Negative,0.075
1390,Positive,0.296
1391,Positive,0.317
1392,Negative,0.194
1393,Negative,0.113
1394,Negative,0.225
1395,Positive,0.21
1396,Positive,0.241
1397,Positive,0.272
1398,Positive,0.234
1399,Negative,0.074
1400,Positive,0.242
1401,Negative,0.195
1402,Positive,0.073
1403,Positive,0.178
1404,Negative,0.202
1405,Positive,0.229
1406,Positive,0.23
1407,Negative,0.424
1408,Positive,0.217
1409,Positive,0.264
1410,Positive,0.284
1411,Positive,0.485
1412,Positive,0.132
1413,Negative,0.136
1414,Negative,0.076
1415,Negative,0.0
1416,Positive,0.194
1417,Negative,0.067
1418,Positive,0.255
1419,Positive,0.18
1420,Negative,0.328
1421,Positive,0.413
1422,Positive,0.16
1423,Negative,0.208
1424,Negative,0.0
1425,Negative,0.343
1426,Negative,0.095
1427,Positive,0.307
1428,Positive,0.249
1429,Positive,0.273
1430,Positive,0.23
1431,Positive,0.162
1432,Negative,0.369
1433,Positive,0.167
1434,Negative,0.091
1435,Negative,0.134
1436,Positive,0.174
1437,Positive,0.151
1438,Positive,0.146
1439,Negative,0.0
1440,Negative,0.137
1441,Positive,0.31
1442,Negative,0.259
1443,Negative,0.159
1444,Positive,0.261
1445,Positive,0.311
1446,Negative,0.329
1447,Positive,0.228
1448,Positive,0.19
1449,Positive,0.146
1450,Negative,0.205
1451,Negative,0.297
1452,Positive,0.166
1453,Negative,0.188
1454,Negative,0.238
1455,Negative,0.147
1456,Positive,0.282
1457,Positive,0.488
1458,Positive,0.29
1459,Negative,0.336
1460,Positive,0.353
1461,Negative,0.229
1462,Negative,0.094
1463,Negative,0.203
1464,Negative,0.375
1465,Positive,0.399
1466,Negative,0.213
1467,Positive,0.288
1468,Positive,0.301
1469,Negative,0.118
1470,Positive,0.163
1471,Positive,0.148
1472,Negative,0.186
1473,Negative,0.262
1474,Negative,0.246
1475,Positive,0.238
1476,Positive,0.157
1477,Positive,0.22
1478,Negative,0.451
1479,Negative,0.206
1480,Negative,0.436
1481,Positive,0.235
1482,Positive,0.293
1483,Negative,0.076
1484,Positive,0.17
1485,Negative,0.143
1486,Positive,0.238
1487,Positive,0.305
1488,Negative,0.282
1489,Positive,0.259
1490,Positive,0.206
1491,Positive,0.175
1492,Positive,0.25
1493,Positive,0.194
1494,Negative,0.188
1495,Positive,0.524
1496,Positive,0.152
1497,Positive,0.253
1498,Negative,0.209
1499,Negative,0.392
1500,Positive,0.142
1501,Positive,0.17
1502,Positive,0.154
1503,Negative,0.287
1504,Positive,0.443
1505,Positive,0.246
1506,Positive,0.374
1507,Negative,0.29
1508,Negative,0.098
1509,Positive,0.068
1510,Positive,0.222
1511,Positive,0.239
1512,Positive,0.167
1513,Positive,0.326
1514,Negative,0.37
1515,Negative,0.359
1516,Negative,0.225
1517,Positive,0.266
1518,Positive,0.171
1519,Negative,0.195
1520,Positive,0.394
1521,Negative,0.099
1522,Positive,0.222
1523,Positive,0.386
1524,Positive,0.143
1525,Negative,0.255
1526,Negative,0.166
1527,Negative,0.14
1528,Negative,0.166
1529,Positive,0.231
1530,Positive,0.049
1531,Negative,0.05
1532,Positive,0.199
1533,Negative,0.178
1534,Positive,0.233
1535,Positive,0.25
1536,Positive,0.319
1537,Positive,0.223
1538,Positive,0.204
1539,Negative,0.33
1540,Negative,0.346
1541,Positive,0.274
1542,Positive,0.255
1543,Positive,0.174
1544,Negative,0.0
1545,Negative,0.214
1546,Positive,0.107
1547,Positive,0.231
1548,Positive,0.18
1549,Positive,0.259
1550,Negative,0.375
1551,Negative,0.071
1552,Positive,0.34
1553,Positive,0.137
1554,Positive,0.255
1555,Negative,0.073
1556,Positive,0.162
1557,Positive,0.335
1558,Negative,0.189
1559,Negative,0.378
1560,Negative,0.121
1561,Negative,0.238
1562,Positive,0.221
1563,Positive,0.249
1564,Positive,0.224
1565,Negative,0.105
1566,Negative,0.241
1567,Positive,0.364
1568,Negative,0.2
1569,Negative,0.208
1570,Positive,0.211
1571,Positive,0.12
1572,Positive,0.087
1573,Positive,0.123
1574,Negative,0.0
1575,Negative,0.384
1576,Negative,0.337
1577,Positive,0.151
1578,Positive,0.422
1579,Negative,0.0
1580,Positive,0.119
1581,Positive,0.155
1582,Negative,0.587
1583,Negative,0.1
1584,Positive,0.112
1585,Positive,0.36
1586,Positive,0.253
1587,Positive,0.406
1588,Negative,0.155
1589,Negative,0.409
1590,Positive,0.136
1591,Positive,0.474
1592,Positive,0.223
1593,Positive,0.192
1594,Positive,0.242
1595,Negative,0.0
1596,Positive,0.357
1597,Negative,0.607
1598,Negative,0.382
1599,Positive,0.25
1600,Positive,0.116
1601,Positive,0.203
1602,Negative,0.162
1603,Positive,0.356
1604,Positive,0.347
1605,Positive,0.392
1606,Positive,0.231
1607,Positive,0.162
1608,Negative,0.333
1609,Negative,0.202
1610,Negative,0.325
1611,Negative,0.348
1612,Positive,0.346
1613,Negative,0.239
1614,Positive,0.244
1615,Negative,0.079
1616,Positive,0.348
1617,Positive,0.225
1618,Negative,0.187
1619,Negative,0.0
1620,Positive,0.146
1621,Negative,0.142
1622,Negative,0.139
1623,Negative,0.247
1624,Negative,0.382
1625,Negative,0.27
1626,Negative,0.279
1627,Negative,0.185
1628,Positive,0.174
1629,Positive,0.23
1630,Negative,0.179
1631,Positive,0.066
1632,Positive,0.282
1633,Negative,0.417
1634,Positive,0.363
1635,Negative,0.089
1636,Negative,0.167
1637,Positive,0.573
1638,Positive,0.188
1639,Positive,0.253
1640,Positive,0.351
1641,Positive,0.444
1642,Positive,0.242
1643,Positive,0.294
1644,Negative,0.123
1645,Positive,0.412
1646,Positive,0.168
1647,Positive,0.31
1648,Negative,0.187
1649,Negative,0.158
1650,Positive,0.249
1651,Positive,0.139
1652,Negative,0.158
1653,Positive,0.341
1654,Negative,0.175
1655,Positive,0.193
1656,Negative,0.293
1657,Negative,0.112
1658,Negative,0.249
1659,Negative,0.244
1660,Positive,0.295
1661,Negative,0.165
1662,Negative,0.351
1663,Negative,0.347
1664,Negative,0.183
1665,Negative,0.22
1666,Negative,0.0
1667,Negative,0.128
1668,Negative,0.193
1669,Negative,0.23
1670,Positive,0.212
1671,Negative,0.315
1672,Negative,0.139
1673,Negative,0.0
1674,Negative,0.155
1675,Positive,0.403
1676,Positive,0.091
1677,Negative,0.0
1678,Negative,0.16
1679,Negative,0.153
1680,Negative,0.151
1681,Positive,0.13
1682,Positive,0.204
1683,Positive,0.26
1684,Negative,0.067
1685,Negative,0.404
1686,Negative,0.149
1687,Negative,0.123
1688,Negative,0.309
1689,Positive,0.183
1690,Positive,0.165
1691,Negative,0.232
1692,Negative,0.138
1693,Negative,0.22
1694,Negative,0.247
1695,Negative,0.194
1696,Negative,0.087
1697,Negative,0.088
1698,Positive,0.157
1699,Negative,0.19
1700,Negative,0.307
1701,Negative,0.156
1702,Positive,0.14
1703,Positive,0.09
1704,Negative,0.444
1705,Positive,0.245
1706,Negative,0.069
1707,Negative,0.195
1708,Negative,0.137
1709,Positive,0.24
1710,Positive,0.093
1711,Negative,0.313
1712,Positive,0.212
1713,Negative,0.417
1714,Positive,0.107
1715,Negative,0.0
1716,Positive,0.199
1717,Positive,0.346
1718,Positive,0.075
1719,Positive,0.209
1720,Negative,0.139
1721,Positive,0.292
1722,Positive,0.259
1723,Negative,0.0
1724,Positive,0.179
1725,Negative,0.188
1726,Negative,0.229
1727,Positive,0.175
1728,Negative,0.304
1729,Positive,0.293
1730,Positive,0.121
1731,Positive,0.245
1732,Positive,0.122
1733,Negative,0.112
1734,Negative,0.152
1735,Positive,0.254
1736,Negative,0.125
1737,Positive,0.225
1738,Negative,0.253
1739,Positive,0.167
1740,Positive,0.122
1741,Positive,0.311
1742,Positive,0.174
1743,Negative,0.379
1744,Negative,0.227
1745,Negative,0.187
1746,Negative,0.126
1747,Positive,0.567
1748,Negative,0.061
1749,Negative,0.189
1750,Negative,0.134
1751,Positive,0.18
1752,Negative,0.3
1753,Positive,0.208
1754,Negative,0.126
1755,Positive,0.257
1756,Negative,0.251
1757,Negative,0.336
1758,Positive,0.153
1759,Negative,0.279
1760,Positive,0.093
1761,Negative,0.082
1762,Positive,0.351
1763,Positive,0.06
1764,Negative,0.266
1765,Negative,0.0
1766,Negative,0.198
1767,Positive,0.323
1768,Positive,0.135
1769,Negative,0.126
1770,Positive,0.641
1771,Negative,0.259
1772,Negative,0.355
1773,Positive,0.181
1774,Negative,0.171
1775,Positive,0.096
1776,Negative,0.0
1777,Positive,0.154
1778,Positive,0.218
1779,Positive,0.161
1780,Negative,0.202
1781,Negative,0.221
1782,Positive,0.211
1783,Negative,0.43
1784,Negative,0.092
1785,Positive,0.125
1786,Positive,0.176
1787,Positive,0.701
1788,Negative,0.25
1789,Negative,0.0
1790,Negative,0.0
1791,Negative,0.325
1792,Negative,0.382
1793,Positive,0.17
1794,Negative,0.321
1795,Negative,0.261
1796,Positive,0.268
1797,Positive,0.162
1798,Positive,0.303
1799,Negative,0.41
1800,Positive,0.251
1801,Negative,0.151
1802,Negative,0.141
1803,Negative,0.0
1804,Positive,0.36
1805,Positive,0.272
1806,Negative,0.579
1807,Negative,0.196
1808,Negative,0.447
1809,Negative,0.14
1810,Positive,0.322
1811,Positive,0.16
1812,Negative,0.207
1813,Negative,0.199
1814,Positive,0.355
1815,Positive,0.181
1816,Negative,0.252
1817,Negative,0.0
1818,Positive,0.431
1819,Negative,0.423
1820,Negative,0.148
1821,Negative,0.124
1822,Negative,0.174
1823,Negative,0.228
1824,Negative,0.227
1825,Positive,0.189
1826,Negative,0.588
1827,Negative,0.233
1828,Negative,0.144
1829,Positive,0.394
1830,Negative,0.0
1831,Negative,0.214
1832,Negative,0.097
1833,Positive,0.204
1834,Negative,0.276
1835,Negative,0.208
1836,Negative,0.23
1837,Negative,0.0
1838,Negative,0.201
1839,Positive,0.186
1840,Negative,0.169
1841,Negative,0.122
1842,Negative,0.231
1843,Positive,0.261
1844,Positive,0.326
1845,Positive,0.119
1846,Negative,0.0
1847,Positive,0.214
1848,Negative,0.384
1849,Negative,0.212
1850,Negative,0.135
1851,Negative,0.399
1852,Negative,0.111
1853,Positive,0.188
1854,Positive,0.322
1855,Positive,0.32
1856,Negative,0.304
1857,Negative,0.187
1858,Negative,0.201
1859,Negative,0.226
1860,Negative,0.196
1861,Positive,0.303
1862,Positive,0.123
1863,Negative,0.287
1864,Negative,0.0
1865,Negative,0.167
1866,Positive,0.256
1867,Negative,0.239
1868,Positive,0.253
1869,Positive,0.435
1870,Negative,0.225
1871,Negative,0.359
1872,Negative,0.255
1873,Positive,0.213
1874,Positive,0.393
1875,Positive,0.195
1876,Positive,0.193
1877,Positive,0.205
1878,Positive,0.528
1879,Positive,0.357
1880,Positive,0.244
1881,Negative,0.297
1882,Positive,0.285
1883,Negative,0.113
1884,Negative,0.265
1885,Positive,0.289
1886,Positive,0.144
1887,Positive,0.512
1888,Negative,0.318
1889,Positive,0.19
1890,Negative,0.129
1891,Negative,0.265
1892,Positive,0.411
1893,Negative,0.324
1894,Negative,0.381
1895,Positive,0.3
1896,Negative,0.0
1897,Positive,0.186
1898,Negative,0.193
1899,Negative,0.216
1900,Negative,0.045
1901,Negative,0.197
1902,Positive,0.217
1903,Positive,0.317
1904,Negative,0.0
1905,Negative,0.446
1906,Negative,0.19
1907,Positive,0.267
1908,Positive,0.272
1909,Positive,0.196
1910,Positive,0.304
1911,Negative,0.342
1912,Positive,0.322
1913,Positive,0.403
1914,Positive,0.279
1915,Positive,0.229
1916,Negative,0.153
1917,Positive,0.415
1918,Positive,0.62
1919,Negative,0.137
1920,Negative,0.172
1921,Negative,0.18
1922,Positive,0.156
1923,Positive,0.075
1924,Negative,0.147
1925,Positive,0.425
1926,Negative,0.387
1927,Negative,0.157
1928,Positive,0.262
1929,Positive,0.348
1930,Positive,0.278
1931,Negative,0.242
1932,Negative,0.394
1933,Positive,0.158
1934,Positive,0.309
1935,Negative,0.124
1936,Positive,0.275
1937,Positive,0.452
1938,Negative,0.0
1939,Positive,0.263
1940,Positive,0.229
1941,Negative,0.242
1942,Positive,0.293
1943,Positive,0.588
1944,Positive,0.155
1945,Positive,0.585
1946,Positive,0.259
1947,Positive,0.235
1948,Negative,0.217
1949,Negative,0.0
1950,Negative,0.088
1951,Positive,0.291
1952,Negative,0.091
1953,Negative,0.0
1954,Positive,0.173
1955,Negative,0.0
1956,Positive,0.339
1957,Positive,0.5
1958,Positive,0.214
1959,Negative,0.438
1960,Positive,0.219
1961,Negative,0.102
1962,Negative,0.0
1963,Negative,0.197
1964,Positive,0.319
1965,Positive,0.412
1966,Positive,0.352
1967,Negative,0.259
1968,Negative,0.365
1969,Positive,0.466
1970,Negative,0.231
1971,Positive,0.194
1972,Positive,0.205
1973,Positive,0.293
1974,Negative,0.135
1975,Negative,0.26
1976,Positive,0.299
1977,Negative,0.175
1978,Positive,0.417
1979,Positive,0.319
1980,Negative,0.101
1981,Positive,0.375
1982,Positive,0.145
1983,Negative,0.064
1984,Positive,0.362
1985,Negative,0.135
1986,Positive,0.23
1987,Positive,0.17
1988,Negative,0.117
1989,Positive,0.168
1990,Positive,0.281
1991,Positive,0.131
1992,Positive,0.263
1993,Positive,0.184
1994,Positive,0.126
1995,Positive,0.135
1996,Positive,0.512
1997,Positive,0.492
1998,Positive,0.237
1999,Positive,0.107
2000,Positive,0.302
2001,Negative,0.09
2002,Negative,0.067
2003,Positive,0.252
2004,Negative,0.389
2005,Positive,0.262
2006,Negative,0.182
2007,Negative,0.109
2008,Positive,0.133
2009,Positive,0.417
2010,Positive,0.262
2011,Positive,0.191
2012,Negative,0.249
2013,Negative,0.234
2014,Negative,0.181
2015,Positive,0.135
2016,Negative,0.323
2017,Positive,0.187
2018,Positive,0.184
2019,Negative,0.118
2020,Positive,0.19
2021,Negative,0.139
2022,Positive,0.36
2023,Negative,0.0
2024,Positive,0.122
2025,Negative,0.0
2026,Positive,0.345
2027,Negative,0.281
2028,Negative,0.292
2029,Positive,0.063
2030,Positive,0.202
2031,Negative,0.353
2032,Positive,0.143
2033,Positive,0.29
2034,Positive,0.246
2035,Positive,0.198
2036,Negative,0.145
2037,Negative,0.062
2038,Positive,0.333
2039,Positive,0.08
2040,Positive,0.452
2041,Negative,0.15
2042,Negative,0.1
2043,Negative,0.091
2044,Negative,0.192
2045,Negative,0.094
2046,Negative,0.185
2047,Negative,0.332
2048,Positive,0.177
2049,Positive,0.537
2050,Negative,0.203
2051,Negative,0.457
2052,Negative,0.152
2053,Negative,0.254
2054,Positive,0.151
2055,Positive,0.265
2056,Positive,0.251
2057,Positive,0.179
2058,Positive,0.389
2059,Positive,0.3
2060,Positive,0.208
2061,Positive,0.108
2062,Negative,0.187
2063,Positive,0.13
2064,Positive,0.112
2065,Positive,0.211
2066,Positive,0.217
2067,Positive,0.304
2068,Positive,0.107
2069,Negative,0.0
2070,Negative,0.0
2071,Negative,0.136
2072,Positive,0.296
2073,Negative,0.338
2074,Negative,0.088
2075,Positive,0.348
2076,Positive,0.166
2077,Negative,0.325
2078,Positive,0.314
2079,Positive,0.44
2080,Positive,0.121
2081,Positive,0.222
2082,Negative,0.159
2083,Negative,0.0
2084,Negative,0.524
2085,Negative,0.172
2086,Positive,0.184
2087,Positive,0.277
2088,Positive,0.124
2089,Negative,0.047
2090,Negative,0.132
2091,Negative,0.126
2092,Negative,0.224
2093,Positive,0.138
2094,Negative,0.0
2095,Positive,0.244
2096,Positive,0.452
2097,Positive,0.226
2098,Positive,0.119
2099,Negative,0.213
2100,Negative,0.201
2101,Negative,0.127
2102,Negative,0.098
2103,Positive,0.25
2104,Negative,0.199
2105,Negative,0.229
2106,Positive,0.318
2107,Negative,0.0
2108,Positive,0.195
2109,Negative,0.355
2110,Positive,0.067
2111,Negative,0.239
2112,Negative,0.278
2113,Positive,0.324
2114,Positive,0.303
2115,Negative,0.318
2116,Positive,0.307
2117,Positive,0.368
2118,Positive,0.442
2119,Negative,0.164
2120,Positive,0.244
2121,Positive,0.543
2122,Negative,0.268
2123,Positive,0.43
2124,Negative,0.203
2125,Positive,0.187
2126,Negative,0.191
2127,Negative,0.231
2128,Negative,0.293
2129,Negative,0.118
2130,Positive,0.261
2131,Positive,0.329
2132,Positive,0.64
2133,Positive,0.104
2134,Positive,0.406
2135,Negative,0.0
2136,Negative,0.0
2137,Positive,0.221
2138,Positive,0.114
2139,Negative,0.245
2140,Positive,0.169
2141,Negative,0.128
2142,Positive,0.108
2143,Positive,0.204
2144,Positive,0.139
2145,Positive,0.218
2146,Positive,0.548
2147,Negative,0.427
2148,Positive,0.218
2149,Positive,0.294
2150,Positive,0.131
2151,Negative,0.109
2152,Negative,0.0
2153,Positive,0.297
2154,Negative,0.244
2155,Positive,0.327
2156,Negative,0.246
2157,Positive,0.388
2158,Negative,0.077
2159,Positive,0.195
2160,Negative,0.258
2161,Positive,0.142
2162,Negative,0.276
2163,Positive,0.301
2164,Positive,0.143
2165,Negative,0.211
2166,Negative,0.106
2167,Negative,0.171
2168,Negative,0.071
2169,Negative,0.237
2170,Positive,0.225
2171,Positive,0.317
2172,Positive,0.114
2173,Negative,0.3
2174,Positive,0.155
2175,Negative,0.343
2176,Negative,0.328
2177,Positive,0.116
2178,Positive,0.415
2179,Negative,0.167
2180,Negative,0.286
2181,Positive,0.225
2182,Negative,0.098
2183,Positive,0.289
2184,Negative,0.157
2185,Positive,0.185
2186,Positive,0.371
2187,Negative,0.118
2188,Negative,0.0
2189,Positive,0.169
2190,Positive,0.14
2191,Negative,0.13
2192,Positive,0.56
2193,Positive,0.343
2194,Positive,0.124
2195,Positive,0.338
2196,Positive,0.39
2197,Positive,0.074
2198,Positive,0.162
2199,Negative,0.097
2200,Negative,0.0
2201,Positive,0.091
2202,Negative,0.274
2203,Negative,0.218
2204,Negative,0.0
2205,Positive,0.143
2206,Negative,0.0
2207,Negative,0.0
2208,Negative,0.356
2209,Positive,0.117
2210,Negative,0.249
2211,Positive,0.526
2212,Positive,0.324
2213,Positive,0.077
2214,Positive,0.16
2215,Negative,0.141
2216,Positive,0.073
2217,Negative,0.0
2218,Positive,0.162
2219,Positive,0.191
2220,Negative,0.154
2221,Positive,0.341
2222,Positive,0.166
2223,Negative,0.0
2224,Positive,0.216
2225,Positive,0.159
2226,Positive,0.254
2227,Positive,0.375
2228,Positive,0.216
2229,Positive,0.308
2230,Negative,0.239
2231,Negative,0.175
2232,Positive,0.207
2233,Positive,0.194
2234,Negative,0.143
2235,Negative,0.145
2236,Negative,0.0
2237,Negative,0.144
2238,Negative,0.157
2239,Positive,0.317
2240,Negative,0.232
2241,Negative,0.209
2242,Positive,0.367
2243,Positive,0.566
2244,Negative,0.0
2245,Positive,0.277
2246,Positive,0.432
2247,Positive,0.302
2248,Positive,0.495
2249,Negative,0.173
2250,Positive,0.182
2251,Positive,0.237
2252,Positive,0.381
2253,Positive,0.38
2254,Negative,0.294
2255,Positive,0.148
2256,Positive,0.412
2257,Negative,0.0
2258,Positive,0.208
2259,Positive,0.108
2260,Negative,0.095
2261,Positive,0.162
2262,Negative,0.178
2263,Positive,0.281
2264,Negative,0.273
2265,Positive,0.388
2266,Positive,0.182
2267,Positive,0.352
2268,Negative,0.07
2269,Positive,0.252
2270,Positive,0.185
2271,Positive,0.297
2272,Negative,0.0
2273,Positive,0.348
2274,Positive,0.281
2275,Negative,0.293
2276,Positive,0.216
2277,Positive,0.197
2278,Negative,0.259
2279,Negative,0.074
2280,Positive,0.139
2281,Positive,0.329
2282,Positive,0.22
2283,Negative,0.0
2284,Negative,0.0
2285,Negative,0.353
2286,Negative,0.107
2287,Positive,0.261
2288,Positive,0.048
2289,Negative,0.248
2290,Positive,0.123
2291,Negative,0.0
2292,Positive,0.271
2293,Positive,0.26
2294,Negative,0.268
2295,Positive,0.398
2296,Positive,0.2
2297,Positive,0.265
2298,Positive,0.333
2299,Positive,0.645
2300,Positive,0.492
2301,Positive,0.184
2302,Positive,0.147
2303,Positive,0.123
2304,Positive,0.133
2305,Positive,0.31
2306,Negative,0.0
2307,Negative,0.0
2308,Negative,0.0
2309,Positive,0.583
2310,Positive,0.215
2311,Positive,0.214
2312,Positive,0.268
2313,Negative,0.0
2314,Negative,0.0
2315,Negative,0.307
2316,Negative,0.322
2317,Negative,0.0
2318,Positive,0.194
2319,Positive,0.361
2320,Negative,0.0
2321,Positive,0.331
2322,Positive,0.169
2323,Positive,0.327
2324,Positive,0.583
2325,Negative,0.31
2326,Negative,0.245
2327,Negative,0.209
2328,Negative,0.208
2329,Positive,0.311
2330,Negative,0.153
2331,Negative,0.144
2332,Positive,0.153
2333,Negative,0.0
2334,Positive,0.418
2335,Positive,0.376
2336,Positive,0.282
2337,Negative,0.078
2338,Positive,0.441
2339,Positive,0.268
2340,Positive,0.247
2341,Negative,0.353
2342,Negative,0.459
2343,Positive,0.291
2344,Negative,0.271
2345,Positive,0.188
2346,Negative,0.136
2347,Positive,0.407
2348,Positive,0.496
2349,Negative,0.541
2350,Negative,0.145
2351,Positive,0.221
2352,Positive,0.148
2353,Positive,0.073
2354,Negative,0.334
2355,Positive,0.564
2356,Positive,0.227
2357,Positive,0.509
2358,Negative,0.0
2359,Negative,0.129
2360,Positive,0.326
2361,Positive,0.201
2362,Positive,0.205
2363,Positive,0.245
2364,Positive,0.246
2365,Negative,0.091
2366,Positive,0.49
2367,Negative,0.322
2368,Negative,0.0
2369,Positive,0.171
2370,Positive,0.196
2371,Negative,0.0
2372,Negative,0.243
2373,Negative,0.0
2374,Positive,0.287
2375,Negative,0.183
2376,Negative,0.102
2377,Negative,0.246
2378,Positive,0.153
2379,Positive,0.256
2380,Positive,0.143
2381,Negative,0.293
2382,Negative,0.099
2383,Negative,0.095
2384,Negative,0.098
2385,Negative,0.129
2386,Negative,0.155
2387,Positive,0.219
2388,Positive,0.419
2389,Positive,0.398
2390,Positive,0.329
2391,Positive,0.286
2392,Negative,0.236
2393,Positive,0.162
2394,Negative,0.338
2395,Positive,0.416
2396,Positive,0.142
2397,Negative,0.184
2398,Positive,0.118
2399,Negative,0.0
2400,Positive,0.215
2401,Negative,0.07
2402,Positive,0.213
2403,Positive,0.32
2404,Positive,0.248
2405,Positive,0.429
2406,Negative,0.378
2407,Positive,0.106
2408,Negative,0.256
2409,Positive,0.123
2410,Positive,0.249
2411,Positive,0.396
2412,Positive,0.189
2413,Positive,0.42
2414,Negative,0.301
2415,Positive,0.349
2416,Negative,0.0
2417,Negative,0.076
2418,Positive,0.189
2419,Negative,0.349
2420,Positive,0.573
2421,Positive,0.47
2422,Negative,0.209
2423,Positive,0.083
2424,Positive,0.112
2425,Negative,0.131
2426,Negative,0.315
2427,Negative,0.0
2428,Negative,0.229
2429,Negative,0.173
2430,Positive,0.225
2431,Negative,0.254
2432,Negative,0.0
2433,Negative,0.0
2434,Negative,0.202
2435,Positive,0.359
2436,Negative,0.066
2437,Negative,0.425
2438,Positive,0.221
2439,Negative,0.412
2440,Negative,0.0
2441,Positive,0.559
2442,Negative,0.287
2443,Negative,0.105
2444,Positive,0.135
2445,Positive,0.217
2446,Positive,0.156
